,mpg,cylinders,displacement,horsepower,weight,acceleration,model year,origin,car name
0,18.0,8,307.0,131,3504,12.0,70,1,chevrolet chevelle malibu
1,15.0,8,350.0,136,3693,11.5,70,1,buick skylark 320
2,18.0,8,318.0,134,3436,11.0,70,1,plymouth satellite
3,16.0,8,304.0,134,3433,12.0,70,1,amc rebel sst
4,17.0,8,302.0,132,3449,10.5,70,1,ford torino
5,15.0,8,429.0,140,4341,10.0,70,1,ford galaxie 500
6,14.0,8,454.0,142,4354,9.0,70,1,chevrolet impala
7,14.0,8,440.0,142,4312,8.5,70,1,plymouth fury iii
8,14.0,8,455.0,143,4425,10.0,70,1,pontiac catalina
9,15.0,8,390.0,139,3850,8.5,70,1,amc ambassador dpl
10,15.0,8,383.0,137,3563,10.0,70,1,dodge challenger se
11,14.0,8,340.0,135,3609,8.0,70,1,plymouth 'cuda 340
12,15.0,8,400.0,134,3761,9.5,70,1,chevrolet monte carlo
13,14.0,8,455.0,143,3086,10.0,70,1,buick estate wagon (sw)
14,24.0,4,113.0,124,2372,15.0,70,3,toyota corona mark ii
15,22.0,6,198.0,124,2833,15.5,70,1,plymouth duster
16,18.0,6,199.0,124,2774,15.5,70,1,amc hornet
17,21.0,6,200.0,121,2587,16.0,70,1,ford maverick
18,27.0,4,97.0,122,2130,14.5,70,3,datsun pl510
19,26.0,4,97.0,108,1835,20.5,70,2,volkswagen 1131 deluxe sedan
20,25.0,4,110.0,122,2672,17.5,70,2,peugeot 504
21,24.0,4,107.0,123,2430,14.5,70,2,audi 100 ls
22,25.0,4,104.0,124,2375,17.5,70,2,saab 99e
23,26.0,4,121.0,128,2234,12.5,70,2,bmw 2002
24,21.0,6,199.0,123,2648,15.0,70,1,amc gremlin
25,10.0,8,360.0,142,4615,14.0,70,1,ford f250
26,10.0,8,307.0,140,4376,15.0,70,1,chevy c20
27,11.0,8,318.0,141,4382,13.5,70,1,dodge d200
28,9.0,8,304.0,139,4732,18.5,70,1,hi 1200d
29,27.0,4,97.0,122,2130,14.5,71,3,datsun pl510
30,28.0,4,140.0,123,2264,15.5,71,1,chevrolet vega 2300
31,25.0,4,113.0,124,2228,14.0,71,3,toyota corona
32,25.0,4,98.0,?,2046,19.0,71,1,ford pinto
33,19.0,6,232.0,125,2634,13.0,71,1,amc gremlin
34,16.0,6,225.0,126,3439,15.5,71,1,plymouth satellite custom
35,17.0,6,250.0,125,3329,15.5,71,1,chevrolet chevelle malibu
36,19.0,6,250.0,122,3302,15.5,71,1,ford torino 500
37,18.0,6,232.0,125,3288,15.5,71,1,amc matador
38,14.0,8,350.0,136,4209,12.0,71,1,chevrolet impala
39,14.0,8,400.0,137,4464,11.5,71,1,pontiac catalina brougham
40,14.0,8,351.0,134,4154,13.5,71,1,ford galaxie 500
41,14.0,8,318.0,134,4096,13.0,71,1,plymouth fury iii
42,12.0,8,383.0,138,4955,11.5,71,1,dodge monaco (sw)
43,13.0,8,400.0,137,4746,12.0,71,1,ford country squire (sw)
44,13.0,8,400.0,137,5140,12.0,71,1,pontiac safari (sw)
